河洛客栈	359	229
高升客栈	199	401
龙门客栈	101	374
悦来客栈	221	286
有间客栈	78	141
主角居	357	235
北丑居	49	111
南贤居	388	325
胡斐居	86	94
成昆居	19	249
程瑛居	295	422
阎基居	396	374
一灯居	314	370
苗人凤居	223	187
平一指居	215	196
田伯光居	385	306
薛慕华居	192	261
洪七公居	169	210
海边小屋	286	157
燕子坞	308	197
梅庄	330	196
药王庄	323	317
金蛇洞	193	293
思过崖	187	301
云鹤崖	17	15
摩天崖	186	338
冰蚕洞	22	449
藏宝洞	172	425
无量山洞	169	426
狄云山洞	364	279
神雕山洞	68	170
沙漠山洞	75	226
昆仑仙境	22	440
鸳鸯山洞	425	38
闯王宝藏	64	51
大理宝藏	72	283
百花谷	159	270
蝴蝶谷	238	219
黑龙潭	309	352
绝情谷	134	259
绝情谷底	132	254
天宁寺	329	237
金轮寺	103	397
大轮寺	114	297
沙漠废墟	53	219
破庙	19	181
冰火岛	103	16
灵蛇岛	187	63
桃花岛	339	138
侠客岛	455	328
渤泥岛	277	43
万鳄岛	432	125
衡山派	355	376
恒山派	112	215
泰山派	193	139
华山派	193	301
嵩山派	242	293
少林寺	247	300
崆峒派	160	314
峨嵋派	215	408
武当派	226	340
昆仑派	42	419
青城派	185	370
古墓	144	218
重阳宫	145	217
神龙教	141	113
五毒教	247	424
霹雳堂	409	217
白驼山	141	433
擂鼓山	176	221
铁掌山	302	343
光明顶	68	397
黑木崖	118	178
星宿海	132	410
凌霄城	166	404
丐帮	229	256
福威镖局	369	258
回族部落	120	343
明教分舵	76	363
武道大会	192	295
